DATE,AISRSA
1/1/93,2.433
2/1/93,2.76
3/1/93,2.695
4/1/93,2.487
5/1/93,2.513
6/1/93,2.449
7/1/93,2.459
8/1/93,2.647
9/1/93,2.551
10/1/93,2.241
11/1/93,2.269
12/1/93,2.359
1/1/94,2.284
2/1/94,2.211
3/1/94,2.267
4/1/94,2.12
5/1/94,2.407
6/1/94,2.416
7/1/94,2.552
8/1/94,2.425
9/1/94,2.385
10/1/94,2.325
11/1/94,2.278
12/1/94,2.319
1/1/95,2.684
2/1/95,2.815
3/1/95,2.818
4/1/95,3.095
5/1/95,2.999
6/1/95,2.844
7/1/95,3.005
8/1/95,2.673
9/1/95,2.688
10/1/95,2.845
11/1/95,2.742
12/1/95,2.565
1/1/96,2.849
2/1/96,2.624
3/1/96,2.218
4/1/96,2.324
5/1/96,2.178
6/1/96,2.43
7/1/96,2.58
8/1/96,2.592
9/1/96,2.549
10/1/96,2.589
11/1/96,2.498
12/1/96,2.478
1/1/97,2.285
2/1/97,2.418
3/1/97,2.373
4/1/97,2.45
5/1/97,2.438
6/1/97,2.558
7/1/97,2.437
8/1/97,2.356
9/1/97,2.568
10/1/97,2.52
11/1/97,2.542
12/1/97,2.368
1/1/98,2.762
2/1/98,2.676
3/1/98,2.652
4/1/98,2.553
5/1/98,2.332
6/1/98,2.198
7/1/98,2.436
8/1/98,2.565
9/1/98,2.264
10/1/98,2.21
11/1/98,2.526
12/1/98,2.222
1/1/99,2.56
2/1/99,2.407
3/1/99,2.467
4/1/99,2.439
5/1/99,2.395
6/1/99,2.38
7/1/99,2.318
8/1/99,2.262
9/1/99,2.363
10/1/99,2.475
11/1/99,2.441
12/1/99,2.369
1/1/00,2.257
2/1/00,2.089
3/1/00,2.237
4/1/00,2.307
5/1/00,2.319
6/1/00,2.404
7/1/00,2.494
8/1/00,2.491
9/1/00,2.463
10/1/00,2.597
11/1/00,2.697
12/1/00,2.81
1/1/01,2.427
2/1/01,2.192
3/1/01,2.356
4/1/01,2.287
5/1/01,2.227
6/1/01,2.21
7/1/01,2.308
8/1/01,2.426
9/1/01,2.323
10/1/01,1.404
11/1/01,1.76
12/1/01,2.267
1/1/02,2.305
2/1/02,2.271
3/1/02,2.285
4/1/02,2.155
5/1/02,2.409
6/1/02,2.406
7/1/02,2.269
8/1/02,2.221
9/1/02,2.556
10/1/02,2.636
11/1/02,2.695
12/1/02,2.533
1/1/03,2.563
2/1/03,2.831
3/1/03,2.75
4/1/03,2.787
5/1/03,2.877
6/1/03,2.736
