DATE,DAUPNSA
1/1/93,453.3
2/1/93,499.3
3/1/93,589.5
4/1/93,538.6
5/1/93,548.4
6/1/93,559.5
7/1/93,297.9
8/1/93,437.1
9/1/93,461.9
10/1/93,547.6
11/1/93,551.3
12/1/93,494.3
1/1/94,529.7
2/1/94,584.2
3/1/94,658.6
4/1/94,564.1
5/1/94,608.3
6/1/94,613.7
7/1/94,284.5
8/1/94,539.6
9/1/94,558.9
10/1/94,593.3
11/1/94,550.7
12/1/94,515.6
1/1/95,547.2
2/1/95,582.5
3/1/95,677.3
4/1/95,519.4
5/1/95,580.5
6/1/95,573.7
7/1/95,288.3
8/1/95,504.4
9/1/95,522.4
10/1/95,579
11/1/95,516.7
12/1/95,434.7
1/1/96,472.8
2/1/96,541.2
3/1/96,420.8
4/1/96,565.1
5/1/96,610.7
6/1/96,575.9
7/1/96,368.6
8/1/96,543
9/1/96,518.2
10/1/96,547.4
11/1/96,489.1
12/1/96,382.4
1/1/97,483.8
2/1/97,511.8
3/1/97,500.8
4/1/97,553.7
5/1/97,533.6
6/1/97,496.1
7/1/97,340.1
8/1/97,490.4
9/1/97,496.9
10/1/97,573.7
11/1/97,466.8
12/1/97,430.6
1/1/98,433.8
2/1/98,456.7
3/1/98,510.7
4/1/98,476.1
5/1/98,481.1
6/1/98,407.5
7/1/98,233.9
8/1/98,505.8
9/1/98,545.6
10/1/98,564.3
11/1/98,442.4
12/1/98,434.4
1/1/99,422.4
2/1/99,452.5
3/1/99,548.1
4/1/99,490.6
5/1/99,476.2
6/1/99,511
7/1/99,283
8/1/99,495.9
9/1/99,492.7
10/1/99,511.7
11/1/99,480
12/1/99,413.4
1/1/00,443.6
2/1/00,482.4
3/1/00,547.5
4/1/00,449
5/1/00,527.4
6/1/00,520.9
7/1/00,279.6
8/1/00,513.2
9/1/00,475
10/1/00,497.2
11/1/00,411.9
12/1/00,323.3
1/1/01,404
2/1/01,386
3/1/01,469.8
4/1/01,414.3
5/1/01,488.1
6/1/01,443.6
7/1/01,249.6
8/1/01,430.5
9/1/01,373.9
10/1/01,433
11/1/01,394.2
12/1/01,321.1
