DATE,DAUPSA
1/1/93,512.9
2/1/93,503.8
3/1/93,498.1
4/1/93,510.2
5/1/93,512.8
6/1/93,489.5
7/1/93,468.1
8/1/93,457.1
9/1/93,441.7
10/1/93,502.7
11/1/93,535.5
12/1/93,546.4
1/1/94,576.7
2/1/94,576.1
3/1/94,570.5
4/1/94,543.8
5/1/94,544.9
6/1/94,545.3
7/1/94,540.9
8/1/94,493.1
9/1/94,539
10/1/94,552.9
11/1/94,545.6
12/1/94,572.2
1/1/95,575.7
2/1/95,568.7
3/1/95,588.7
4/1/95,524.4
5/1/95,510.4
6/1/95,508.2
7/1/95,518.5
8/1/95,465.1
9/1/95,523.1
10/1/95,523.2
11/1/95,511.3
12/1/95,508.6
1/1/96,478.1
2/1/96,517.2
3/1/96,389.5
4/1/96,533.4
5/1/96,538.2
6/1/96,557.3
7/1/96,578
8/1/96,539.1
9/1/96,515.7
10/1/96,460.8
11/1/96,498.6
12/1/96,484.1
1/1/97,489.7
2/1/97,513.6
3/1/97,511.7
4/1/97,475.8
5/1/97,479.5
6/1/97,481.5
7/1/97,489.4
8/1/97,502.3
9/1/97,468.3
10/1/97,485.6
11/1/97,500.8
12/1/97,483.9
1/1/98,484.2
2/1/98,458.6
3/1/98,449.8
4/1/98,451.5
5/1/98,456.6
6/1/98,396.3
7/1/98,322
8/1/98,512.9
9/1/98,511.5
10/1/98,501.8
11/1/98,471.9
12/1/98,491.2
1/1/99,471.8
2/1/99,454.4
3/1/99,462.1
4/1/99,466.2
5/1/99,454.3
6/1/99,453.7
7/1/99,441.6
8/1/99,475.2
9/1/99,460.4
10/1/99,479.1
11/1/99,483.1
12/1/99,470.4
1/1/00,469.3
2/1/00,461.2
3/1/00,462.3
4/1/00,475.4
5/1/00,481.2
6/1/00,464
7/1/00,455.3
8/1/00,466.3
9/1/00,464.1
10/1/00,445.8
11/1/00,413.1
12/1/00,393.2
1/1/01,405.9
2/1/01,387.5
3/1/01,416
4/1/01,416
5/1/01,427.2
6/1/01,415.9
7/1/01,384.7
8/1/01,387.8
9/1/01,382.7
10/1/01,371.9
11/1/01,395.3
12/1/01,417.9
1/1/02,410.9
2/1/02,436.3
3/1/02,428.4
4/1/02,434
5/1/02,429
6/1/02,435.7
7/1/02,451.6
8/1/02,409.2
9/1/02,393.9
10/1/02,394.1
11/1/02,419.4
12/1/02,381.3
1/1/03,420.4
2/1/03,367.3
3/1/03,363.1
4/1/03,362.3
5/1/03,373.8
6/1/03,376.4
7/1/03,378.8
8/1/03,351.4
9/1/03,383
10/1/03,370.6
11/1/03,370.2
12/1/03,350.6
1/1/04,348.1
2/1/04,367
3/1/04,359.4
4/1/04,368.3
5/1/04,350.2
6/1/04,333.5
7/1/04,347
8/1/04,349.2
9/1/04,345.4
10/1/04,328.2
11/1/04,324.1
12/1/04,345.3
1/1/05,348.5
2/1/05,370.8
3/1/05,354.8
4/1/05,351.5
5/1/05,350.8
6/1/05,365.9
7/1/05,346.5
8/1/05,354.8
9/1/05,350.4
10/1/05,349.3
11/1/05,364.8
12/1/05,348.3
1/1/06,374.5
2/1/06,366.4
3/1/06,377.7
4/1/06,381.7
5/1/06,366.1
6/1/06,348.9
7/1/06,330.8
8/1/06,350.4
9/1/06,354.7
10/1/06,349.4
11/1/06,339.3
12/1/06,354.6
1/1/07,340.5
2/1/07,324.3
3/1/07,313.6
4/1/07,323.8
5/1/07,313.1
6/1/07,336.7
7/1/07,346
8/1/07,312.6
9/1/07,293.6
10/1/07,310.2
11/1/07,317.7
12/1/07,333.3
1/1/08,328.6
2/1/08,320.6
3/1/08,327.5
4/1/08,295.4
5/1/08,295.2
6/1/08,312.4
7/1/08,375.4
8/1/08,330.8
9/1/08,320.6
10/1/08,305.2
11/1/08,270.9
12/1/08,239.2
1/1/09,107.5
2/1/09,135.4
3/1/09,154
4/1/09,152.8
5/1/09,148.6
6/1/09,148.3
7/1/09,188.6
8/1/09,210.7
9/1/09,239.8
10/1/09,243.8
11/1/09,228.7
12/1/09,236.1
1/1/10,231.5
2/1/10,232.1
3/1/10,224
4/1/10,224.4
5/1/10,251
6/1/10,230.3
7/1/10,234.5
8/1/10,223.9
9/1/10,222
10/1/10,219
11/1/10,221.7
12/1/10,203.9
1/1/11,198.9
2/1/11,229.3
3/1/11,240.3
4/1/11,217.1
5/1/11,230.2
6/1/11,224.7
7/1/11,227.9
8/1/11,257.7
9/1/11,246.5
10/1/11,283.6
11/1/11,284.2
12/1/11,306.3
1/1/12,327.1
2/1/12,328.3
3/1/12,324.3
4/1/12,345.2
5/1/12,343.1
6/1/12,343
7/1/12,361.4
8/1/12,340.3
9/1/12,343.8
10/1/12,344.6
11/1/12,353.5
12/1/12,342.6
1/1/13,365.2
2/1/13,364.6
3/1/13,379.7
4/1/13,363.1
5/1/13,365.7
6/1/13,375.2
7/1/13,312.6
8/1/13,357
9/1/13,372.3
10/1/13,361.6
11/1/13,367
12/1/13,368.9
1/1/14,350.3
2/1/14,363.2
3/1/14,353.6
4/1/14,336.1
5/1/14,331.4
6/1/14,365.4
7/1/14,372.6
8/1/14,351.5
9/1/14,353.3
10/1/14,336.7
11/1/14,367.1
12/1/14,371.4
1/1/15,351.4
2/1/15,324.9
3/1/15,363
4/1/15,359.9
5/1/15,373.6
6/1/15,338.7
7/1/15,382.5
8/1/15,342.1
9/1/15,343
10/1/15,339.4
11/1/15,317.6
12/1/15,320.9
1/1/16,331.6
2/1/16,335.8
3/1/16,331.1
