DATE,DAUTOSA
1/1/67,653.1
2/1/67,570.8
3/1/67,601.7
4/1/67,680.3
5/1/67,663.4
6/1/67,682.2
7/1/67,661.6
8/1/67,607.9
9/1/67,647
10/1/67,587.7
11/1/67,563.8
12/1/67,648.3
1/1/68,710.5
2/1/68,669.6
3/1/68,728.6
4/1/68,679.4
5/1/68,724.5
6/1/68,701.1
7/1/68,749.7
8/1/68,749.5
9/1/68,725.2
10/1/68,746.7
11/1/68,719.8
12/1/68,720.2
1/1/69,737.5
2/1/69,739.1
3/1/69,696.3
4/1/69,708.3
5/1/69,709.2
6/1/69,707.4
7/1/69,672.1
8/1/69,704.2
9/1/69,747.9
10/1/69,720.2
11/1/69,671.8
12/1/69,650.3
1/1/70,616.2
2/1/70,662
3/1/70,620.3
4/1/70,645.2
5/1/70,639
6/1/70,671.2
7/1/70,643.3
8/1/70,632.9
9/1/70,646.9
10/1/70,498.4
11/1/70,412
12/1/70,432
1/1/71,687.9
2/1/71,692.1
3/1/71,729.1
4/1/71,691.3
5/1/71,680.3
6/1/71,701.9
7/1/71,656.9
8/1/71,689.2
9/1/71,830.3
10/1/71,807
11/1/71,767.5
12/1/71,728.3
1/1/72,736.5
2/1/72,756.3
3/1/72,746.8
4/1/72,759.1
5/1/72,771.8
6/1/72,751.7
7/1/72,761.8
8/1/72,776.7
9/1/72,759.8
10/1/72,793.4
11/1/72,812
12/1/72,826.7
1/1/73,844.7
2/1/73,850.7
3/1/73,909.8
4/1/73,871.9
5/1/73,884.5
6/1/73,810.8
7/1/73,801.8
8/1/73,780.6
9/1/73,802.4
10/1/73,689.8
11/1/73,688.9
12/1/73,652.7
1/1/74,660.8
2/1/74,634.3
3/1/74,647.5
4/1/74,649.5
5/1/74,648.2
6/1/74,639.1
7/1/74,631.3
8/1/74,741.3
9/1/74,609.5
10/1/74,529.7
11/1/74,466.9
12/1/74,503.7
1/1/75,532.2
2/1/75,596.8
3/1/75,499.8
4/1/75,476.3
5/1/75,522.4
6/1/75,530.1
7/1/75,606.6
8/1/75,591.2
9/1/75,625.3
10/1/75,635
11/1/75,657.9
12/1/75,677.3
1/1/76,704.4
2/1/76,726.9
3/1/76,734.3
4/1/76,718.8
5/1/76,698.8
6/1/76,702.5
7/1/76,712.4
8/1/76,665.8
9/1/76,704.3
10/1/76,642.5
11/1/76,689.9
12/1/76,791.4
1/1/77,745.4
2/1/77,752
3/1/77,782.6
4/1/77,745.8
5/1/77,739.2
6/1/77,764.8
7/1/77,738.4
8/1/77,749
9/1/77,729.1
10/1/77,748.5
11/1/77,727.7
12/1/77,748.7
1/1/78,670.3
2/1/78,711.9
3/1/78,746.7
4/1/78,812.6
5/1/78,815.7
6/1/78,811.8
7/1/78,757.6
8/1/78,797.6
9/1/78,727.1
10/1/78,781.7
11/1/78,761
12/1/78,769.9
1/1/79,752.2
2/1/79,764.7
3/1/79,732.6
4/1/79,697.8
5/1/79,686.3
6/1/79,607.6
7/1/79,694
8/1/79,715.5
9/1/79,707.1
10/1/79,610.1
11/1/79,610.8
12/1/79,651.4
1/1/80,695.4
2/1/80,655.2
3/1/80,594.9
4/1/80,493.6
5/1/80,443.7
6/1/80,479.4
7/1/80,537.1
8/1/80,536
9/1/80,531
10/1/80,552.6
11/1/80,538.6
12/1/80,523.9
1/1/81,546.9
2/1/81,616.4
3/1/81,637.5
4/1/81,478.2
5/1/81,483
6/1/81,481.6
7/1/81,488
8/1/81,650.8
9/1/81,560.5
10/1/81,427.6
11/1/81,428.2
12/1/81,410.1
1/1/82,445.7
2/1/82,520.7
3/1/82,489
4/1/82,455.9
5/1/82,531.9
6/1/82,427.5
7/1/82,432
8/1/82,445.8
9/1/82,515.2
10/1/82,444
11/1/82,539.8
12/1/82,510.7
1/1/83,481.7
2/1/83,499.3
3/1/83,507
4/1/83,544.8
5/1/83,567.8
6/1/83,604.5
7/1/83,600.2
8/1/83,560.4
9/1/83,572.8
10/1/83,596.8
11/1/83,589.2
12/1/83,668.6
1/1/84,656.6
2/1/84,686.6
3/1/84,662.7
4/1/84,668.2
5/1/84,679.5
6/1/84,669.6
7/1/84,683.2
8/1/84,654.1
9/1/84,637.1
10/1/84,633.7
11/1/84,647.8
12/1/84,672.6
1/1/85,687
2/1/85,692.3
3/1/85,698.3
4/1/85,706.2
5/1/85,685.6
6/1/85,637.6
7/1/85,627.7
8/1/85,784.3
9/1/85,936.6
10/1/85,538.5
11/1/85,564.3
12/1/85,646.2
1/1/86,708.2
2/1/86,653
3/1/86,577.3
4/1/86,653.7
5/1/86,682.7
6/1/86,681.3
7/1/86,634
8/1/86,734
9/1/86,959.9
10/1/86,591.7
11/1/86,582.5
12/1/86,756.7
1/1/87,487.2
2/1/87,598.7
3/1/87,616.9
4/1/87,618.6
5/1/87,571.1
6/1/87,597.7
7/1/87,606.2
8/1/87,688.8
9/1/87,642.2
10/1/87,502.1
11/1/87,534.9
12/1/87,616.5
1/1/88,647.7
2/1/88,665.1
3/1/88,648.2
4/1/88,609.2
5/1/88,629
6/1/88,643.1
7/1/88,621.3
8/1/88,608.3
9/1/88,587.6
10/1/88,580.5
11/1/88,605.6
12/1/88,693.8
1/1/89,613.1
2/1/89,593.3
3/1/89,577.5
4/1/89,641
5/1/89,622.2
6/1/89,566.4
7/1/89,587.3
8/1/89,679.3
9/1/89,641.1
10/1/89,514.2
11/1/89,506.2
12/1/89,536.5
1/1/90,648.8
