DATE,FAUTONSA
1/1/67,48.1
2/1/67,49.4
3/1/67,65.4
4/1/67,63.4
5/1/67,70.1
6/1/67,74.4
7/1/67,69.2
8/1/67,77.3
9/1/67,67.8
10/1/67,70.3
11/1/67,65.9
12/1/67,57.9
1/1/68,72
2/1/68,76.2
3/1/68,84.1
4/1/68,85.9
5/1/68,89.3
6/1/68,91.2
7/1/68,92
8/1/68,93.4
9/1/68,99.7
10/1/68,95.5
11/1/68,78.8
12/1/68,71.7
1/1/69,84.4
2/1/69,63.4
3/1/69,86.8
4/1/69,101.1
5/1/69,106.4
6/1/69,99.7
7/1/69,98.4
8/1/69,99.8
9/1/69,98.3
10/1/69,106.1
11/1/69,91.2
12/1/69,81.8
1/1/70,85.3
2/1/70,87.4
3/1/70,99.8
4/1/70,107.3
5/1/70,112.3
6/1/70,124.1
7/1/70,120.5
8/1/70,112.9
9/1/70,92.2
10/1/70,125.4
11/1/70,103.9
12/1/70,112.1
1/1/71,108.3
2/1/71,112
3/1/71,143.5
4/1/71,146.6
5/1/71,141.1
6/1/71,159.1
7/1/71,149.9
8/1/71,158.5
9/1/71,128.5
10/1/71,115.7
11/1/71,110.4
12/1/71,92.4
1/1/72,111.2
2/1/72,115.9
3/1/72,141.1
4/1/72,126.1
5/1/72,143.9
6/1/72,148
7/1/72,135.5
8/1/72,157
9/1/72,136
10/1/72,137.8
11/1/72,139
12/1/72,129.2
1/1/73,138.8
2/1/73,144.8
3/1/73,178.3
4/1/73,160.9
5/1/73,171.9
6/1/73,174.6
7/1/73,151.5
8/1/73,149.5
9/1/73,119.3
10/1/73,119.1
11/1/73,133.4
12/1/73,119.4
1/1/74,127.5
2/1/74,115.2
3/1/74,124.6
4/1/74,113.3
5/1/74,115.4
6/1/74,113.1
7/1/74,119.7
8/1/74,142.8
9/1/74,134.1
10/1/74,129.2
11/1/74,98.4
12/1/74,78.6
1/1/75,114.9
2/1/75,147.7
3/1/75,145
4/1/75,142.2
5/1/75,138.1
6/1/75,151.2
7/1/75,156.1
8/1/75,149.6
9/1/75,135.9
10/1/75,115.2
11/1/75,89
12/1/75,102
1/1/76,90.9
2/1/76,106.8
3/1/76,131
4/1/76,125.9
5/1/76,128.1
6/1/76,127.3
7/1/76,128.7
8/1/76,146.3
9/1/76,147.6
10/1/76,137.7
11/1/76,119.1
12/1/76,112.6
1/1/77,123.4
2/1/77,144.3
3/1/77,188.6
4/1/77,206.5
5/1/77,220.2
6/1/77,197.6
7/1/77,181.8
8/1/77,204.3
9/1/77,171.4
10/1/77,144.1
11/1/77,143.3
12/1/77,149.3
1/1/78,141.5
2/1/78,148.8
3/1/78,194.7
4/1/78,180
5/1/78,196.4
6/1/78,187.9
7/1/78,167.8
8/1/78,204.5
9/1/78,166
10/1/78,149.6
11/1/78,139.4
12/1/78,123.5
1/1/79,138.5
2/1/79,165.3
3/1/79,251.2
4/1/79,223.5
5/1/79,255.5
6/1/79,203.7
7/1/79,196.6
8/1/79,210.7
9/1/79,174
10/1/79,170.2
11/1/79,168.1
12/1/79,171.4
1/1/80,217.8
