DATE,FAUTOSA
1/1/67,52.4
2/1/67,57.5
3/1/67,61.7
4/1/67,62.2
5/1/67,65.2
6/1/67,65.5
7/1/67,67.7
8/1/67,68
9/1/67,66.8
10/1/67,67.1
11/1/67,70.9
12/1/67,74.2
1/1/68,79.7
2/1/68,82.9
3/1/68,83.7
4/1/68,80.5
5/1/68,81.3
6/1/68,83.5
7/1/68,85.3
8/1/68,84.6
9/1/68,100.8
10/1/68,90.1
11/1/68,88.2
12/1/68,89.2
1/1/69,93.2
2/1/69,72.7
3/1/69,85.5
4/1/69,94.5
5/1/69,97.3
6/1/69,90.5
7/1/69,88.9
8/1/69,94.2
9/1/69,96.5
10/1/69,102.8
11/1/69,103.4
12/1/69,97.9
1/1/70,94.1
2/1/70,99.2
3/1/70,95.8
4/1/70,99.1
5/1/70,107.2
6/1/70,107.7
7/1/70,110.8
8/1/70,104.7
9/1/70,91.7
10/1/70,124
11/1/70,117.9
12/1/70,131
1/1/71,125
2/1/71,126.4
3/1/71,133.1
4/1/71,138.7
5/1/71,134.1
6/1/71,139.5
7/1/71,140
8/1/71,145
9/1/71,128.5
10/1/71,122.4
11/1/71,122.8
12/1/71,110.5
1/1/72,127.1
2/1/72,123.1
3/1/72,128
4/1/72,123.3
5/1/72,128.1
6/1/72,128.8
7/1/72,129.8
8/1/72,133.2
9/1/72,140.2
10/1/72,142.7
11/1/72,155.2
12/1/72,161.2
1/1/73,151.4
2/1/73,159.4
3/1/73,160
4/1/73,156.7
5/1/73,149.3
6/1/73,158.3
7/1/73,144.2
8/1/73,129.5
9/1/73,124.8
10/1/73,122.7
11/1/73,156.9
12/1/73,148.3
1/1/74,139.1
2/1/74,126.6
3/1/74,116.6
4/1/74,104.9
5/1/74,101.1
6/1/74,104.3
7/1/74,110.3
8/1/74,123
9/1/74,137.4
10/1/74,131.8
11/1/74,121.4
12/1/74,95.4
1/1/75,130.9
2/1/75,162.4
3/1/75,134.5
4/1/75,130.9
5/1/75,121.2
6/1/75,140.3
7/1/75,141.8
8/1/75,135.3
9/1/75,132.9
10/1/75,122.3
11/1/75,114.2
12/1/75,120.2
1/1/76,107.3
2/1/76,117.4
3/1/76,115.7
4/1/76,114.4
5/1/76,114.6
