DATE,IPG3361T3N
1/1/72,41.4774
2/1/72,44.5061
3/1/72,45.4771
4/1/72,49.6148
5/1/72,48.9793
6/1/72,48.9222
7/1/72,33.9167
8/1/72,37.1557
9/1/72,49.8324
10/1/72,53.3747
11/1/72,51.8494
12/1/72,45.5197
1/1/73,49.978
2/1/73,54.8738
3/1/73,55.439
4/1/73,55.3064
5/1/73,56.7195
6/1/73,59.6337
7/1/73,49.0871
8/1/73,38.7399
9/1/73,54.3134
10/1/73,58.0756
11/1/73,55.3222
12/1/73,41.8952
1/1/74,42.3011
2/1/74,43.8775
3/1/74,45.1112
4/1/74,46.8672
5/1/74,49.2324
6/1/74,51.4954
7/1/74,42.7049
8/1/74,37.9104
9/1/74,50.5078
10/1/74,53.2262
11/1/74,45.3931
12/1/74,32.5325
1/1/75,31.9802
2/1/75,32.2831
3/1/75,36.2517
4/1/75,39.5206
5/1/75,41.1734
6/1/75,43.8214
7/1/75,35.159
8/1/75,36.6626
9/1/75,45.0468
10/1/75,46.4822
11/1/75,44.2263
12/1/75,39.3753
1/1/76,42.0145
2/1/76,47.7947
3/1/76,51.4309
4/1/76,52.419
5/1/76,55.404
6/1/76,58.5871
7/1/76,45.0663
8/1/76,44.6925
9/1/76,50.1203
10/1/76,52.218
11/1/76,53.5448
12/1/76,48.8888
1/1/77,49.8859
2/1/77,53.7284
3/1/77,61.2314
4/1/77,60.1851
5/1/77,61.5076
6/1/77,66.0365
7/1/77,54.0941
8/1/77,46.7334
9/1/77,57.6873
10/1/77,64.4445
11/1/77,57.6326
12/1/77,51.6378
1/1/78,49.9134
2/1/78,56.0943
3/1/78,63.2925
4/1/78,67.225
5/1/78,64.5451
6/1/78,65.7867
7/1/78,52.9447
8/1/78,48.3859
9/1/78,60.1378
10/1/78,67.5838
11/1/78,63.2943
12/1/78,55.073
1/1/79,56.0974
2/1/79,61.0256
3/1/79,67.1512
4/1/79,57.462
5/1/79,64.7319
6/1/79,63.9355
7/1/79,48.5825
8/1/79,39.2768
9/1/79,51.4363
10/1/79,55.2646
11/1/79,47.2309
12/1/79,40.9275
1/1/80,39.3863
2/1/80,46.0423
3/1/80,48.2589
4/1/80,42.4184
5/1/80,39.0635
6/1/80,40.5372
7/1/80,32.4678
8/1/80,30.6122
9/1/80,38.9029
10/1/80,44.7501
11/1/80,42.5929
12/1/80,35.9384
1/1/81,35.7603
2/1/81,38.7456
3/1/81,44.2403
4/1/81,44.3593
5/1/81,46.3118
6/1/81,47.9426
7/1/81,37.0153
8/1/81,34.0194
9/1/81,36.1955
10/1/81,39.7748
11/1/81,34.3305
12/1/81,29.5668
1/1/82,28.7019
2/1/82,32.3799
3/1/82,37.2481
4/1/82,38.3508
5/1/82,40.8825
6/1/82,42.9698
7/1/82,35.86
8/1/82,32.284
9/1/82,34.5991
10/1/82,35.0993
11/1/82,32.6155
12/1/82,31.1621
1/1/83,35.3411
2/1/83,40.9903
3/1/83,43.9905
4/1/83,44.0535
5/1/83,46.1687
6/1/83,50.0188
7/1/83,40.1318
8/1/83,42.0509
9/1/83,48.286
10/1/83,53.2106
11/1/83,49.0827
12/1/83,45.5782
1/1/84,52.2301
2/1/84,56.2016
3/1/84,60.6276
4/1/84,56.919
5/1/84,56.4362
6/1/84,58.9615
7/1/84,46.6437
8/1/84,48.6268
9/1/84,51.8415
10/1/84,54.9829
11/1/84,53.5502
12/1/84,48.4478
1/1/85,55.7329
2/1/85,58.1011
3/1/85,61.8171
4/1/85,59.3309
5/1/85,59.2899
6/1/85,61.1328
7/1/85,48.1561
8/1/85,49.8755
9/1/85,55.2949
10/1/85,58.2954
11/1/85,55.4338
12/1/85,47.9087
1/1/86,56.9013
2/1/86,60.6334
3/1/86,59.2024
4/1/86,59.9607
5/1/86,58.2189
6/1/86,61.3112
7/1/86,45.6132
8/1/86,48.4433
9/1/86,56.7312
10/1/86,58.4042
11/1/86,54.8153
12/1/86,49.8883
1/1/87,56.9536
2/1/87,64.4285
3/1/87,65.7337
4/1/87,60.7739
5/1/87,61.1736
6/1/87,61.0793
7/1/87,42.8213
8/1/87,50.01
9/1/87,58.011
10/1/87,64.3912
11/1/87,59.1733
12/1/87,50.6997
1/1/88,56.3447
2/1/88,61.4591
3/1/88,65.3246
4/1/88,64.7028
5/1/88,67.8515
6/1/88,69.8142
7/1/88,45.7403
8/1/88,54.2061
9/1/88,64.516
10/1/88,69.1755
11/1/88,64.7943
12/1/88,58.8368
1/1/89,65.0922
2/1/89,68.9366
3/1/89,66.5817
4/1/89,70.8966
5/1/89,67.0486
6/1/89,65.5747
7/1/89,41.1232
8/1/89,56.5809
9/1/89,61.7215
10/1/89,61.9207
11/1/89,57.4606
12/1/89,51.9018
1/1/90,44.9009
2/1/90,58.8918
3/1/90,65.723
4/1/90,60.7323
5/1/90,66.2333
6/1/90,69.8978
7/1/90,47.31
8/1/90,55.8357
9/1/90,63.4761
10/1/90,65.0171
11/1/90,50.5372
12/1/90,42.3666
1/1/91,48.3903
2/1/91,49.7357
3/1/91,51.196
4/1/91,55.4194
5/1/91,59.1848
6/1/91,62.7091
7/1/91,44.8997
8/1/91,53.4129
9/1/91,61.8316
10/1/91,66.3459
11/1/91,58.2432
12/1/91,49.3228
1/1/92,51.7295
2/1/92,61.9715
3/1/92,66.2579
4/1/92,65.3138
5/1/92,70.2762
6/1/92,69.3151
7/1/92,47.8782
8/1/92,62.0715
9/1/92,63.8124
10/1/92,70.4088
11/1/92,64.026
12/1/92,59.2612
1/1/93,65.3606
2/1/93,72.3939
3/1/93,75.4097
4/1/93,72.845
5/1/93,74.8038
6/1/93,74.8673
7/1/93,47.9009
8/1/93,63.5322
9/1/93,68.0921
10/1/93,77.6326
11/1/93,72.2413
12/1/93,65.9758
1/1/94,74.6353
2/1/94,83.9289
3/1/94,85.241
4/1/94,82.5997
5/1/94,83.6482
6/1/94,85.3004
7/1/94,54.6939
8/1/94,79.6462
9/1/94,81.4877
10/1/94,87.9301
11/1/94,80.7907
12/1/94,74.8208
1/1/95,80.2744
2/1/95,90.9077
3/1/95,92.9049
4/1/95,85.9274
5/1/95,85.095
6/1/95,87.4905
7/1/95,54.6427
8/1/95,79.5827
9/1/95,84.177
10/1/95,87.1503
11/1/95,80.1013
12/1/95,74.4473
1/1/96,76.1499
2/1/96,89.1496
3/1/96,81.489
4/1/96,88.3059
5/1/96,88.3205
6/1/96,91.5501
7/1/96,59.4459
8/1/96,84.1736
9/1/96,86.7869
10/1/96,87.4028
11/1/96,83.6901
12/1/96,74.1461
1/1/97,83.5629
2/1/97,95.2097
3/1/97,94.1627
4/1/97,91.6918
5/1/97,90.3284
6/1/97,91.5938
7/1/97,60.3646
8/1/97,90.0554
9/1/97,92.7076
10/1/97,99.8521
11/1/97,95.371
12/1/97,84.0411
1/1/98,87.7667
2/1/98,100.0227
3/1/98,102.436
4/1/98,96.7428
5/1/98,99.3951
6/1/98,86.0995
7/1/98,54.6424
8/1/98,98.6503
9/1/98,100.9132
10/1/98,109.9664
11/1/98,98.4385
12/1/98,89.8528
1/1/99,96.423
