DATE,LAUTONSA
1/1/76,671
2/1/76,747.7
3/1/76,935.1
4/1/76,902.7
5/1/76,910
6/1/76,944.2
7/1/76,854.6
8/1/76,753.1
9/1/76,784.6
10/1/76,860.4
11/1/76,832.3
12/1/76,798.3
1/1/77,716.2
2/1/77,799
3/1/77,1069
4/1/77,1016.3
5/1/77,1041.5
6/1/77,1104.2
7/1/77,901.8
8/1/77,919.5
9/1/77,817.9
10/1/77,1003.2
11/1/77,870.7
12/1/77,786.7
1/1/78,679.6
2/1/78,768.4
3/1/78,1063.9
4/1/78,1028.8
5/1/78,1143.5
6/1/78,1119.2
7/1/78,913.7
8/1/78,944.6
9/1/78,819.7
10/1/78,1023.7
11/1/78,898.6
12/1/78,760.3
1/1/79,774.1
2/1/79,831.6
3/1/79,1103.8
4/1/79,976.3
5/1/79,1042.4
6/1/79,894.5
7/1/79,876.2
8/1/79,908.2
9/1/79,766.8
10/1/79,891.5
11/1/79,767.7
12/1/79,725.7
1/1/80,805.8
2/1/80,811.6
3/1/80,895.2
4/1/80,743.3
5/1/80,696.7
6/1/80,701.9
7/1/80,772.6
8/1/80,685.5
9/1/80,674.1
10/1/80,847.5
11/1/80,698.2
12/1/80,649.4
1/1/81,647.5
2/1/81,764
3/1/81,962.7
4/1/81,751.3
5/1/81,733.6
6/1/81,723.8
7/1/81,706.8
8/1/81,801.1
9/1/81,687.2
10/1/81,648.8
11/1/81,584.6
12/1/81,522.9
1/1/82,534.7
2/1/82,632.5
3/1/82,777
4/1/82,668.9
5/1/82,774.3
6/1/82,651
7/1/82,629.5
8/1/82,608.9
9/1/82,671.2
10/1/82,656
11/1/82,743.4
12/1/82,632
1/1/83,595.8
2/1/83,627.8
3/1/83,821.4
4/1/83,761.9
5/1/83,836.6
6/1/83,903.8
7/1/83,791.6
8/1/83,740.7
9/1/83,704.8
10/1/83,860.8
11/1/83,781.7
12/1/83,751.7
1/1/84,778.5
2/1/84,841.4
3/1/84,963.9
4/1/84,895.6
5/1/84,1047
6/1/84,952.4
7/1/84,889.8
8/1/84,814.9
9/1/84,743.5
10/1/84,901.5
11/1/84,802.4
12/1/84,759.3
1/1/85,829.9
2/1/85,833.4
3/1/85,965
4/1/85,983.3
5/1/85,1068.5
6/1/85,920.2
7/1/85,892.4
8/1/85,995.4
9/1/85,1064.3
10/1/85,859.1
11/1/85,758.4
12/1/85,808.5
1/1/86,866.8
2/1/86,829.7
3/1/86,893.8
4/1/86,969.3
5/1/86,1068.5
6/1/86,997.8
7/1/86,949.7
8/1/86,949
9/1/86,1213.1
10/1/86,902.1
11/1/86,778.5
12/1/86,987.4
1/1/87,621.8
2/1/87,774.4
3/1/87,927
4/1/87,931.3
5/1/87,861.2
6/1/87,935.1
7/1/87,905.7
8/1/87,959.2
9/1/87,896.9
10/1/87,794.5
11/1/87,729.2
12/1/87,834.6
1/1/88,757.2
2/1/88,880.5
3/1/88,998.5
4/1/88,895.1
5/1/88,966.9
6/1/88,1002.6
7/1/88,856
8/1/88,878.7
9/1/88,822.3
10/1/88,829
11/1/88,786.8
12/1/88,872
1/1/89,711.9
2/1/89,745.6
3/1/89,879.2
4/1/89,904.6
5/1/89,963.8
6/1/89,888.8
7/1/89,837.1
8/1/89,963.5
9/1/89,829.9
10/1/89,739.2
11/1/89,672.3
12/1/89,640.9
1/1/90,743.3
2/1/90,716.5
3/1/90,850.3
4/1/90,802.1
5/1/90,872.4
6/1/90,857.3
7/1/90,803.2
8/1/90,786
9/1/90,769
10/1/90,787.8
11/1/90,661.2
12/1/90,651.1
1/1/91,554.6
2/1/91,621.5
3/1/91,730.3
4/1/91,690.7
5/1/91,769.5
6/1/91,771.7
7/1/91,773.2
8/1/91,690.4
9/1/91,671.4
10/1/91,702
11/1/91,606.5
12/1/91,593.2
1/1/92,560.5
2/1/92,651.1
3/1/92,720.4
4/1/92,715.8
5/1/92,733.7
6/1/92,824.8
7/1/92,733.6
8/1/92,644.8
9/1/92,673.7
10/1/92,694.5
11/1/92,601
12/1/92,660.5
1/1/93,562.2
2/1/93,593.4
3/1/93,735.1
4/1/93,768.7
5/1/93,812.1
6/1/93,835.6
7/1/93,763.5
8/1/93,697.1
9/1/93,704
10/1/93,717.3
11/1/93,667.6
12/1/93,661.1
1/1/94,606.1
2/1/94,698.6
3/1/94,876.2
4/1/94,785.8
5/1/94,814.5
6/1/94,871.4
7/1/94,713.2
8/1/94,782.3
9/1/94,741.8
10/1/94,738
11/1/94,670.7
12/1/94,691.8
1/1/95,581.3
2/1/95,647.8
3/1/95,798.3
4/1/95,685.5
5/1/95,824.7
6/1/95,852.3
7/1/95,720.8
8/1/95,805.9
9/1/95,713.1
10/1/95,698.6
11/1/95,641.4
12/1/95,650.7
1/1/96,564.4
2/1/96,687.7
3/1/96,789.5
4/1/96,757.1
5/1/96,867.2
6/1/96,788.7
7/1/96,728.1
8/1/96,745.1
9/1/96,691.8
10/1/96,673.1
11/1/96,586.3
12/1/96,599.6
1/1/97,608.6
2/1/97,644.6
3/1/97,762.3
4/1/97,694.7
5/1/97,767.3
6/1/97,735.4
7/1/97,735
8/1/97,735.6
9/1/97,663.6
10/1/97,659.8
11/1/97,558.5
12/1/97,652.3
1/1/98,522.5
2/1/98,611.6
3/1/98,719.9
4/1/98,706.7
5/1/98,789.1
6/1/98,813.9
7/1/98,630.7
8/1/98,669.8
9/1/98,680.2
10/1/98,708.3
11/1/98,555.9
12/1/98,676.3
1/1/99,543.5
2/1/99,666.9
3/1/99,784
4/1/99,732.6
5/1/99,826.3
6/1/99,825.8
7/1/99,765.9
8/1/99,792.2
9/1/99,710.2
10/1/99,683
11/1/99,633.3
12/1/99,674
1/1/00,616.7
2/1/00,763.5
3/1/00,830.2
4/1/00,770.1
5/1/00,828
6/1/00,835.2
7/1/00,738.4
8/1/00,796.3
9/1/00,742.5
10/1/00,659.2
11/1/00,593.7
12/1/00,603.9
1/1/01,586.8
2/1/01,695.2
3/1/01,783.9
4/1/01,684.5
5/1/01,808.9
6/1/01,804.3
7/1/01,660.6
8/1/01,720.2
9/1/01,635.1
10/1/01,807
11/1/01,597.1
12/1/01,568.5
1/1/02,521.1
2/1/02,620
3/1/02,737.9
4/1/02,712.9
5/1/02,753.2
6/1/02,755.7
7/1/02,735
8/1/02,822.5
9/1/02,597.9
10/1/02,599.3
11/1/02,566.6
12/1/02,620
1/1/03,539.7
2/1/03,575
3/1/03,687.2
4/1/03,648.6
5/1/03,721.9
6/1/03,683.8
7/1/03,674.6
8/1/03,732.1
9/1/03,592.4
10/1/03,569.7
11/1/03,554.1
12/1/03,576.5
1/1/04,491.1
2/1/04,578
3/1/04,687.5
4/1/04,639.7
5/1/04,740.5
6/1/04,668
7/1/04,681.4
8/1/04,636.6
9/1/04,605.7
10/1/04,583.9
11/1/04,518.4
12/1/04,651.7
1/1/05,487.3
2/1/05,572.1
3/1/05,718.9
4/1/05,714.2
5/1/05,690.2
6/1/05,704.6
7/1/05,711.4
8/1/05,697.4
9/1/05,645.4
10/1/05,560.8
11/1/05,541.1
12/1/05,617
1/1/06,558.8
2/1/06,569.3
3/1/06,690.7
4/1/06,711.4
5/1/06,729.7
6/1/06,713.1
7/1/06,711.4
8/1/06,719.4
9/1/06,634.7
10/1/06,544.8
11/1/06,534.1
12/1/06,643.9
1/1/07,506.4
2/1/07,560.6
3/1/07,718.9
4/1/07,622.9
5/1/07,776.1
6/1/07,716.5
7/1/07,617.4
8/1/07,679
9/1/07,611.5
10/1/07,560.1
11/1/07,563.9
12/1/07,628.8
1/1/08,495.8
2/1/08,555.5
3/1/08,679.4
4/1/08,656.8
5/1/08,794.4
6/1/08,659.7
7/1/08,618.9
8/1/08,627.4
9/1/08,478.4
10/1/08,427.1
11/1/08,357.1
12/1/08,418.7
1/1/09,312.8
2/1/09,338.5
3/1/09,442
4/1/09,426.5
5/1/09,480.7
6/1/09,452.5
7/1/09,545.4
8/1/09,715.7
9/1/09,394
10/1/09,420.9
11/1/09,368.3
12/1/09,504.2
1/1/10,356.217
2/1/10,393.08
3/1/10,533.45
4/1/10,493.59
5/1/10,555.18
6/1/10,493.498
7/1/10,514.969
8/1/10,490.819
9/1/10,463.225
10/1/10,436.381
11/1/10,395.715
12/1/10,509.615
1/1/11,380.294
2/1/11,482.998
3/1/11,648.485
4/1/11,595.951
5/1/11,534.594
6/1/11,513.903
7/1/11,497.416
8/1/11,497.583
9/1/11,474.983
10/1/11,470.141
11/1/11,455.258
12/1/11,541.255
1/1/12,460.549
2/1/12,604.028
3/1/12,747.947
4/1/12,614.66
5/1/12,677.297
6/1/12,641.885
7/1/12,567.436
8/1/12,633.71
9/1/12,585.217
10/1/12,530.897
11/1/12,551.645
12/1/12,629.898
1/1/13,523.227
2/1/13,604.217
3/1/13,739.747
4/1/13,639.12
5/1/13,710.234
6/1/13,687.169
7/1/13,638.081
8/1/13,734.027
9/1/13,549.312
10/1/13,563.78
11/1/13,584.775
12/1/13,612.645
1/1/14,479.954
2/1/14,562.538
3/1/14,741.272
4/1/14,656.715
5/1/14,775.008
6/1/14,685.301
7/1/14,670.85
8/1/14,752.421
9/1/14,565.542
10/1/14,580.947
11/1/14,579.143
12/1/14,658.309
1/1/15,514.878
2/1/15,557.552
3/1/15,716.75
4/1/15,645.312
5/1/15,746.821
6/1/15,660.142
7/1/15,646.97
8/1/15,669.761
9/1/15,597.897
10/1/15,598.53
11/1/15,528.796
12/1/15,633.417
1/1/16,472.595
2/1/16,555.185
3/1/16,665.925
4/1/16,608.433
5/1/16,625.302
6/1/16,604.484
7/1/16,590.738
8/1/16,579.921
9/1/16,555.463
10/1/16,506.437
11/1/16,508.004
12/1/16,600.242
1/1/17,412.389
2/1/17,483.476
3/1/17,589.852
4/1/17,537.719
5/1/17,561.843
6/1/17,521.418
7/1/17,501.278
8/1/17,522.773
9/1/17,534.847
10/1/17,458.512
11/1/17,461.361
12/1/17,494.761
1/1/18,365.741
2/1/18,421.842
3/1/18,537.046
4/1/18,428.5
5/1/18,513.115
6/1/18,482.924
7/1/18,416.716
8/1/18,440.789
9/1/18,429.827
10/1/18,414.009
11/1/18,398.063
