DATE,MAUINSA
1/1/93,7.5
2/1/93,18.9
3/1/93,10.7
4/1/93,19.9
5/1/93,19.7
6/1/93,25.7
7/1/93,15
8/1/93,13.1
9/1/93,24.6
10/1/93,23.9
11/1/93,23.8
12/1/93,25.7
1/1/94,14.6
2/1/94,19.1
3/1/94,22.7
4/1/94,22.4
5/1/94,22.5
6/1/94,28.3
7/1/94,25.4
8/1/94,24.2
9/1/94,26.1
10/1/94,30.1
11/1/94,32.8
12/1/94,33.7
1/1/95,23.4
2/1/95,26.7
3/1/95,28.4
4/1/95,22.9
5/1/95,23.9
6/1/95,28.9
7/1/95,33.1
8/1/95,21.4
9/1/95,21.7
10/1/95,46.3
11/1/95,43.4
12/1/95,38.5
1/1/96,39.7
2/1/96,41.5
3/1/96,40.9
4/1/96,34.5
5/1/96,37.4
6/1/96,37.6
7/1/96,26.1
8/1/96,20.7
9/1/96,27
10/1/96,23.1
11/1/96,20.3
12/1/96,18.6
1/1/97,20.4
2/1/97,22.4
3/1/97,22.9
4/1/97,24.3
5/1/97,34.3
6/1/97,30
7/1/97,31.5
8/1/97,22.9
9/1/97,31.4
10/1/97,35.6
11/1/97,25.8
12/1/97,31.5
1/1/98,40.5
2/1/98,43.3
3/1/98,68.5
4/1/98,55.4
5/1/98,71
6/1/98,63.2
7/1/98,53.9
8/1/98,52.2
9/1/98,47.4
10/1/98,57.7
11/1/98,55
12/1/98,63.9
1/1/99,53.6
2/1/99,57.7
3/1/99,62.7
4/1/99,57.3
5/1/99,66.2
6/1/99,61.4
7/1/99,52.5
8/1/99,39.8
9/1/99,47.4
10/1/99,58.7
11/1/99,52.1
12/1/99,59.7
1/1/00,42.2
2/1/00,59.1
3/1/00,71.8
4/1/00,71.7
5/1/00,55.9
6/1/00,89.2
7/1/00,70.6
8/1/00,59
9/1/00,88.1
10/1/00,70.3
11/1/00,72.6
12/1/00,62.3
1/1/01,53.9
2/1/01,59.9
3/1/01,76.5
4/1/01,45.4
5/1/01,58.8
6/1/01,83.5
7/1/01,52.3
8/1/01,71
9/1/01,58.6
10/1/01,62
11/1/01,67.4
12/1/01,68
1/1/02,51.8
2/1/02,62.4
3/1/02,76.8
4/1/02,59
5/1/02,59.2
6/1/02,78.6
7/1/02,43
8/1/02,67.2
9/1/02,57.6
10/1/02,59.2
11/1/02,58.8
12/1/02,47.9
1/1/03,27.1
2/1/03,46.8
3/1/03,56.8
4/1/03,45.6
5/1/03,55.8
6/1/03,64.3
7/1/03,43.5
8/1/03,53.6
9/1/03,37.9
10/1/03,40.6
11/1/03,41.6
12/1/03,41.9
1/1/04,32.8
2/1/04,41.5
3/1/04,52.2
4/1/04,42.3
5/1/04,53.1
6/1/04,54.4
7/1/04,53.6
8/1/04,43.1
9/1/04,44.4
10/1/04,69.9
11/1/04,34.1
12/1/04,44.8
1/1/05,27.8
2/1/05,53.3
3/1/05,61.1
4/1/05,58.2
5/1/05,63.1
6/1/05,73.3
7/1/05,54.1
8/1/05,56.1
9/1/05,65
10/1/05,77.2
11/1/05,80.2
12/1/05,86.1
1/1/06,74.2
2/1/06,92.4
