DATE,MRTSSM44112USN
1/1/92,1744
2/1/92,1990
3/1/92,2177
4/1/92,2601
5/1/92,2171
6/1/92,2207
7/1/92,2251
8/1/92,2087
9/1/92,2016
10/1/92,2149
11/1/92,1667
12/1/92,1583
1/1/93,2022
2/1/93,2199
3/1/93,2526
4/1/93,2564
5/1/93,2309
6/1/93,2393
7/1/93,2485
8/1/93,2287
9/1/93,2167
10/1/93,2339
11/1/93,2253
12/1/93,2060
1/1/94,2199
2/1/94,2432
3/1/94,2669
4/1/94,2782
5/1/94,2638
6/1/94,2769
7/1/94,2774
8/1/94,3119
9/1/94,2887
10/1/94,3136
11/1/94,2564
12/1/94,2470
1/1/95,2709
2/1/95,2833
3/1/95,3296
4/1/95,2998
5/1/95,3180
6/1/95,3303
7/1/95,3492
8/1/95,3445
9/1/95,3223
10/1/95,3074
11/1/95,2931
12/1/95,2558
1/1/96,2871
2/1/96,3451
3/1/96,4046
4/1/96,3879
5/1/96,3727
6/1/96,3538
7/1/96,3571
8/1/96,3511
9/1/96,3221
10/1/96,3526
11/1/96,3262
12/1/96,3006
1/1/97,3377
2/1/97,3834
3/1/97,4089
4/1/97,4115
5/1/97,4022
6/1/97,4088
7/1/97,4066
8/1/97,3864
9/1/97,3741
10/1/97,3822
11/1/97,3294
12/1/97,3374
1/1/98,3681
2/1/98,4154
3/1/98,4523
4/1/98,4400
5/1/98,4356
6/1/98,4723
7/1/98,4535
8/1/98,4476
9/1/98,4138
10/1/98,4535
11/1/98,3730
12/1/98,3691
1/1/99,4115
2/1/99,4597
3/1/99,4921
4/1/99,4824
5/1/99,4950
6/1/99,5047
7/1/99,4895
8/1/99,4892
9/1/99,4509
10/1/99,4516
11/1/99,4292
12/1/99,4095
1/1/00,4381
2/1/00,5327
3/1/00,5434
4/1/00,4841
5/1/00,4986
6/1/00,5161
7/1/00,4989
8/1/00,5089
9/1/00,4860
10/1/00,4574
11/1/00,4089
12/1/00,3928
1/1/01,4648
2/1/01,4917
3/1/01,5359
4/1/01,4991
5/1/01,5390
6/1/01,5169
7/1/01,4906
8/1/01,5142
9/1/01,4291
10/1/01,4903
11/1/01,4444
12/1/01,4103
1/1/02,4802
2/1/02,5226
3/1/02,5212
4/1/02,5260
5/1/02,5342
6/1/02,5199
7/1/02,5229
8/1/02,5542
9/1/02,4855
10/1/02,5143
11/1/02,4736
12/1/02,4377
1/1/03,5209
2/1/03,5477
3/1/03,5877
4/1/03,5572
5/1/03,5586
6/1/03,5324
7/1/03,5466
8/1/03,5494
9/1/03,5072
10/1/03,5014
11/1/03,4528
12/1/03,4436
1/1/04,5053
2/1/04,5538
3/1/04,6055
4/1/04,5564
5/1/04,5882
6/1/04,5548
7/1/04,5773
8/1/04,5948
9/1/04,5546
10/1/04,5785
11/1/04,5481
12/1/04,5348
1/1/05,5803
2/1/05,6480
3/1/05,6602
4/1/05,6036
5/1/05,5955
6/1/05,6018
7/1/05,6080
8/1/05,6419
9/1/05,5684
10/1/05,5597
11/1/05,5325
12/1/05,5125
1/1/06,5811
2/1/06,6245
3/1/06,7009
4/1/06,6470
5/1/06,6638
6/1/06,6522
7/1/06,6371
8/1/06,6653
9/1/06,6204
10/1/06,6146
11/1/06,5634
12/1/06,5473
1/1/07,6089
2/1/07,6625
3/1/07,7276
4/1/07,6734
5/1/07,7186
6/1/07,6850
7/1/07,6781
8/1/07,7310
9/1/07,6591
10/1/07,6583
11/1/07,5957
12/1/07,5714
1/1/08,6544
2/1/08,7182
3/1/08,7291
4/1/08,6940
5/1/08,6683
6/1/08,6653
7/1/08,6286
8/1/08,6226
