DATE,TOTALSA
1/1/76,12.814
2/1/76,13.34
3/1/76,13.378
4/1/76,13.223
5/1/76,12.962
6/1/76,13.051
7/1/76,13.466
8/1/76,12.953
9/1/76,13.61
10/1/76,12.823
11/1/76,13.332
12/1/76,14.527
1/1/77,14.396
2/1/77,14.709
3/1/77,15.17
4/1/77,15.135
5/1/77,14.984
6/1/77,14.952
7/1/77,14.641
8/1/77,14.859
9/1/77,14.65
10/1/77,14.9
11/1/77,14.799
12/1/77,15.175
1/1/78,13.704
2/1/78,14.363
3/1/78,15.166
4/1/78,16.198
5/1/78,16.298
6/1/78,16.348
7/1/78,15.528
8/1/78,16.045
9/1/78,14.641
10/1/78,15.845
11/1/78,15.484
12/1/78,15.338
1/1/79,15.061
2/1/79,15.321
3/1/79,15.275
4/1/79,14.742
5/1/79,14.374
6/1/79,12.744
7/1/79,14.112
8/1/79,14.344
9/1/79,14.292
10/1/79,13.112
11/1/79,13.025
12/1/79,13.496
1/1/80,14.439
2/1/80,13.276
3/1/80,12.077
4/1/80,10.444
5/1/80,9.54
6/1/80,10.449
7/1/80,11.664
8/1/80,11.154
9/1/80,10.912
10/1/80,11.412
11/1/80,11.257
12/1/80,10.939
1/1/81,11.282
2/1/81,12.351
3/1/81,12.427
4/1/81,10.49
5/1/81,10.354
6/1/81,10.415
7/1/81,10.428
8/1/81,12.681
9/1/81,11.08
10/1/81,9.418
11/1/81,9.494
12/1/81,9.055
1/1/82,10.285
2/1/82,10.924
3/1/82,10.651
4/1/82,9.747
5/1/82,11.103
6/1/82,9.613
7/1/82,9.759
8/1/82,9.947
9/1/82,11.129
10/1/82,10.14
11/1/82,12.03
12/1/82,11.249
1/1/83,10.865
2/1/83,10.608
3/1/83,11.023
4/1/83,11.673
5/1/83,12.028
6/1/83,12.96
7/1/83,12.917
8/1/83,12.246
9/1/83,12.451
10/1/83,13.311
11/1/83,13.125
12/1/83,14.503
1/1/84,14.21
2/1/84,14.381
3/1/84,14.21
4/1/84,14.357
5/1/84,14.856
6/1/84,14.673
7/1/84,14.758
8/1/84,14.279
9/1/84,13.959
10/1/84,14.642
11/1/84,14.774
12/1/84,14.602
1/1/85,15.563
2/1/85,15.724
3/1/85,15.358
4/1/85,15.521
5/1/85,15.561
6/1/85,15.093
7/1/85,15.498
8/1/85,16.91
9/1/85,19.104
10/1/85,14.185
11/1/85,14.622
12/1/85,15.711
1/1/86,16.06
2/1/86,15.371
3/1/86,14.161
4/1/86,15.849
5/1/86,16.302
6/1/86,15.92
7/1/86,15.742
8/1/86,17.285
9/1/86,21.495
10/1/86,14.793
11/1/86,14.822
12/1/86,18.079
1/1/87,12.414
2/1/87,15.109
3/1/87,15.299
4/1/87,15.452
5/1/87,14.572
6/1/87,15.619
7/1/87,15.655
8/1/87,17.092
9/1/87,16.119
10/1/87,14.258
11/1/87,14.543
12/1/87,15.645
1/1/88,16.083
2/1/88,16.513
3/1/88,16.182
4/1/88,15.545
5/1/88,15.941
6/1/88,15.854
7/1/88,15.704
8/1/88,15.385
9/1/88,15.047
10/1/88,15.162
11/1/88,15.394
12/1/88,16.437
1/1/89,15.372
2/1/89,14.991
3/1/89,14.662
4/1/89,16.024
5/1/89,15.267
6/1/89,14.384
7/1/89,14.695
8/1/89,16.547
9/1/89,15.66
10/1/89,13.581
11/1/89,13.37
12/1/89,13.55
1/1/90,16.308
2/1/90,14.363
3/1/90,14.486
4/1/90,14.281
5/1/90,14.022
6/1/90,14.149
7/1/90,14.081
8/1/90,13.859
9/1/90,14.298
10/1/90,13.749
11/1/90,13.134
12/1/90,12.958
1/1/91,11.829
2/1/91,12.409
3/1/91,12.848
4/1/91,12.038
5/1/91,12.487
6/1/91,12.719
7/1/91,12.972
8/1/91,12.565
9/1/91,13.107
10/1/91,12.217
11/1/91,12.576
12/1/91,12.658
1/1/92,12.591
2/1/92,12.927
3/1/92,12.824
4/1/92,12.55
5/1/92,13.098
6/1/92,13.543
7/1/92,12.853
8/1/92,12.873
9/1/92,13.378
10/1/92,13.655
11/1/92,13.218
12/1/92,13.784
1/1/93,13.457
2/1/93,12.969
3/1/93,13.326
4/1/93,14.527
5/1/93,14.519
6/1/93,14.49
7/1/93,14.451
8/1/93,13.584
9/1/93,13.99
10/1/93,14.911
11/1/93,14.882
12/1/93,15.004
1/1/94,15.379
2/1/94,15.52
3/1/94,15.301
4/1/94,16.013
5/1/94,14.577
6/1/94,15.109
7/1/94,14.875
8/1/94,15.359
9/1/94,15.274
10/1/94,15.894
11/1/94,15.89
12/1/94,15.584
1/1/95,14.801
2/1/95,14.861
3/1/95,15.256
4/1/95,14.378
5/1/95,14.806
6/1/95,15.407
7/1/95,14.7
8/1/95,15.368
9/1/95,15.338
10/1/95,14.861
11/1/95,15.38
12/1/95,16.262
1/1/96,14.812
2/1/96,15.587
3/1/96,16.044
4/1/96,15.466
5/1/96,15.993
6/1/96,15.256
7/1/96,15.074
8/1/96,15.486
9/1/96,15.534
10/1/96,15.308
11/1/96,15.712
12/1/96,15.183
1/1/97,15.682
2/1/97,15.271
3/1/97,15.816
4/1/97,15.058
5/1/97,15.088
6/1/97,14.524
7/1/97,15.568
8/1/97,16.148
9/1/97,15.096
10/1/97,15.431
11/1/97,15.825
12/1/97,16.474
1/1/98,14.789
2/1/98,15.232
3/1/98,15.405
4/1/98,15.923
5/1/98,17.057
6/1/98,16.771
7/1/98,14.668
8/1/98,14.796
9/1/98,16.313
10/1/98,17.131
11/1/98,16.118
12/1/98,17.409
1/1/99,16.593
2/1/99,17.097
3/1/99,16.832
4/1/99,16.929
5/1/99,17.564
6/1/99,17.346
7/1/99,17.688
8/1/99,17.641
9/1/99,17.662
10/1/99,17.684
11/1/99,17.62
12/1/99,18.322
1/1/00,18.635
2/1/00,19.401
3/1/00,18.343
4/1/00,17.939
5/1/00,17.943
6/1/00,17.596
7/1/00,17.316
8/1/00,17.531
9/1/00,18.654
10/1/00,17.514
11/1/00,16.634
12/1/00,16.222
1/1/01,17.652
2/1/01,17.826
3/1/01,17.248
4/1/01,16.872
5/1/01,16.876
6/1/01,17.464
7/1/01,16.463
8/1/01,16.348
9/1/01,16.365
10/1/01,22.055
11/1/01,18.031
12/1/01,16.465
1/1/02,16.523
2/1/02,17.304
3/1/02,17.109
4/1/02,17.667
5/1/02,16.198
6/1/02,16.953
7/1/02,18.144
8/1/02,18.449
9/1/02,16.665
10/1/02,16.26
11/1/02,16.52
12/1/02,17.866
1/1/03,16.706
2/1/03,16.114
3/1/03,16.466
4/1/03,16.754
5/1/03,16.471
6/1/03,17.014
7/1/03,17.113
8/1/03,18.262
9/1/03,17.287
10/1/03,16.49
11/1/03,17.563
12/1/03,17.357
1/1/04,16.694
2/1/04,17.032
3/1/04,17.246
4/1/04,16.9
5/1/04,18.187
6/1/04,16.174
7/1/04,17.304
8/1/04,17.158
9/1/04,17.876
10/1/04,17.514
11/1/04,17.362
12/1/04,18.102
1/1/05,16.888
2/1/05,16.887
3/1/05,17.417
4/1/05,17.754
5/1/05,17.414
6/1/05,18.483
7/1/05,21.129
8/1/05,17.419
9/1/05,16.928
10/1/05,15.336
11/1/05,16.524
12/1/05,17.174
1/1/06,18.081
2/1/06,17.072
3/1/06,16.959
4/1/06,17.129
5/1/06,16.729
6/1/06,16.901
7/1/06,17.655
8/1/06,16.459
9/1/06,16.975
10/1/06,16.866
11/1/06,16.657
12/1/06,17.107
1/1/07,16.896
2/1/07,17.169
3/1/07,16.436
4/1/07,16.617
5/1/07,16.661
6/1/07,16.179
7/1/07,15.834
8/1/07,16.38
9/1/07,16.533
10/1/07,16.456
11/1/07,16.354
12/1/07,16.03
1/1/08,15.706
2/1/08,15.492
3/1/08,15.116
4/1/08,14.602
5/1/08,14.697
6/1/08,14.377
7/1/08,13.003
8/1/08,14.119
9/1/08,12.962
10/1/08,10.933
11/1/08,10.525
12/1/08,10.383
1/1/09,9.786
2/1/09,9.223
3/1/09,9.748
4/1/09,9.38
5/1/09,10.176
6/1/09,10.149
7/1/09,11.565
8/1/09,14.754
9/1/09,9.536
10/1/09,10.576
11/1/09,11.04
12/1/09,11.284
1/1/10,10.893
2/1/10,10.315
3/1/10,11.772
4/1/10,11.454
5/1/10,12.03
6/1/10,11.598
7/1/10,11.947
8/1/10,12.014
9/1/10,11.922
10/1/10,12.414
11/1/10,12.3
12/1/10,12.606
1/1/11,12.806
2/1/11,13.081
3/1/11,13.259
4/1/11,13.327
5/1/11,12.28
6/1/11,11.886
7/1/11,12.719
8/1/11,12.604
9/1/11,13.356
10/1/11,13.731
11/1/11,13.742
12/1/11,13.798
1/1/12,14.395
2/1/12,14.975
3/1/12,14.594
4/1/12,14.77
5/1/12,14.496
6/1/12,14.467
7/1/12,14.38
8/1/12,14.444
9/1/12,15.099
10/1/12,14.831
11/1/12,15.456
12/1/12,15.462
1/1/13,15.813
2/1/13,15.861
3/1/13,15.724
4/1/13,15.808
5/1/13,15.884
6/1/13,16.148
7/1/13,16.021
8/1/13,15.827
9/1/13,15.857
10/1/13,15.729
11/1/13,16.078
12/1/13,15.835
1/1/14,15.623
2/1/14,15.942
3/1/14,17.029
4/1/14,16.684
5/1/14,17.128
6/1/14,17.505
7/1/14,17.201
8/1/14,17.191
9/1/14,16.996
10/1/14,16.798
11/1/14,17.012
12/1/14,17.19
1/1/15,16.961
2/1/15,16.81
3/1/15,17.862
4/1/15,17.614
5/1/15,18.018
6/1/15,17.843
7/1/15,18.227
8/1/15,18.37
9/1/15,18.29
10/1/15,18.274
11/1/15,18.391
12/1/15,17.485
1/1/16,18.116
2/1/16,17.921
3/1/16,17.337
4/1/16,17.691
5/1/16,17.713
6/1/16,17.726
7/1/16,18.033
8/1/16,17.787
9/1/16,18.032
10/1/16,17.98
11/1/16,17.82
12/1/16,18.243
1/1/17,17.692
2/1/17,17.664
3/1/17,17.144
4/1/17,17.243
5/1/17,17.214
6/1/17,17.209
7/1/17,17.108
8/1/17,16.881
9/1/17,18.528
10/1/17,18.316
11/1/17,17.967
12/1/17,17.807
1/1/18,17.542
2/1/18,17.395
3/1/18,17.71
4/1/18,17.647
5/1/18,17.656
6/1/18,17.71
7/1/18,17.21
8/1/18,17.199
9/1/18,17.965
10/1/18,18.016
11/1/18,17.898
